PHASE 2.6 IMPLEMENTATION AUDIT
=================================
Note: imports_successfully != tested.

[EXISTS] strategy_builder | imports=True | unit_test_exists=False | integration_test_exists=False | live=LIVE_TEST_NOT_RUN
[EXISTS] variant_planner | imports=True | unit_test_exists=True | integration_test_exists=True | live=LIVE_TEST_NOT_RUN
[EXISTS] skill_placement | imports=True | unit_test_exists=False | integration_test_exists=False | live=LIVE_TEST_NOT_RUN
[EXISTS] role_positioning | imports=True | unit_test_exists=False | integration_test_exists=False | live=LIVE_TEST_NOT_RUN
[EXISTS] prompt_builder | imports=True | unit_test_exists=False | integration_test_exists=False | live=LIVE_TEST_NOT_RUN
[EXISTS] openai_generator | imports=True | unit_test_exists=False | integration_test_exists=False | live=LIVE_TEST_NOT_RUN
[EXISTS] resume_generator | imports=True | unit_test_exists=False | integration_test_exists=False | live=LIVE_TEST_NOT_RUN
[EXISTS] bullet_enrichment | imports=True | unit_test_exists=True | integration_test_exists=False | live=LIVE_TEST_NOT_RUN
[EXISTS] blueprint_validator | imports=True | unit_test_exists=False | integration_test_exists=False | live=LIVE_TEST_NOT_RUN
[EXISTS] technology_firewall | imports=True | unit_test_exists=True | integration_test_exists=True | live=LIVE_TEST_NOT_RUN
[EXISTS] coverage_validator | imports=True | unit_test_exists=True | integration_test_exists=True | live=LIVE_TEST_NOT_RUN
[EXISTS] p4_usage_validator | imports=True | unit_test_exists=True | integration_test_exists=False | live=LIVE_TEST_NOT_RUN
[EXISTS] ai_tool_placement_validator | imports=True | unit_test_exists=False | integration_test_exists=True | live=LIVE_TEST_NOT_RUN
[EXISTS] responsibility_validator | imports=True | unit_test_exists=True | integration_test_exists=True | live=LIVE_TEST_NOT_RUN
[EXISTS] hybrid_family_validator | imports=True | unit_test_exists=False | integration_test_exists=True | live=LIVE_TEST_NOT_RUN
[EXISTS] laya_validator | imports=True | unit_test_exists=True | integration_test_exists=False | live=LIVE_TEST_NOT_RUN
[EXISTS] duplicate_validator | imports=True | unit_test_exists=False | integration_test_exists=True | live=LIVE_TEST_NOT_RUN
[EXISTS] role_drift_validator | imports=True | unit_test_exists=False | integration_test_exists=False | live=LIVE_TEST_NOT_RUN
[EXISTS] ats_validator | imports=True | unit_test_exists=False | integration_test_exists=True | live=LIVE_TEST_NOT_RUN
[EXISTS] variant_similarity_validator | imports=True | unit_test_exists=False | integration_test_exists=True | live=LIVE_TEST_NOT_RUN
[EXISTS] variant_regeneration | imports=True | unit_test_exists=True | integration_test_exists=True | live=LIVE_TEST_NOT_RUN
[EXISTS] score_engine | imports=True | unit_test_exists=False | integration_test_exists=False | live=LIVE_TEST_NOT_RUN
[EXISTS] repair_planner | imports=True | unit_test_exists=False | integration_test_exists=False | live=LIVE_TEST_NOT_RUN
[EXISTS] targeted_rewriter | imports=True | unit_test_exists=False | integration_test_exists=False | live=LIVE_TEST_NOT_RUN
[EXISTS] patch_applier | imports=True | unit_test_exists=True | integration_test_exists=False | live=LIVE_TEST_NOT_RUN
[EXISTS] repair_validator | imports=True | unit_test_exists=False | integration_test_exists=False | live=LIVE_TEST_NOT_RUN
[EXISTS] outcome_store | imports=True | unit_test_exists=False | integration_test_exists=False | live=LIVE_TEST_NOT_RUN
[EXISTS] outcome_builder | imports=True | unit_test_exists=True | integration_test_exists=False | live=LIVE_TEST_NOT_RUN
[EXISTS] failure_store | imports=True | unit_test_exists=False | integration_test_exists=False | live=LIVE_TEST_NOT_RUN
[EXISTS] strategy_memory | imports=True | unit_test_exists=True | integration_test_exists=False | live=LIVE_TEST_NOT_RUN
[EXISTS] eligibility | imports=True | unit_test_exists=True | integration_test_exists=False | live=LIVE_TEST_NOT_RUN
[EXISTS] fingerprint_store | imports=True | unit_test_exists=True | integration_test_exists=True | live=LIVE_TEST_NOT_RUN
[EXISTS] pattern_updater | imports=True | unit_test_exists=True | integration_test_exists=False | live=LIVE_TEST_NOT_RUN
[EXISTS] learning_repository | imports=True | unit_test_exists=True | integration_test_exists=False | live=LIVE_TEST_NOT_RUN
[EXISTS] llm_client | imports=True | unit_test_exists=True | integration_test_exists=False | live=LIVE_TEST_NOT_RUN
[EXISTS] docx_exporter | imports=True | unit_test_exists=True | integration_test_exists=False | live=LIVE_TEST_NOT_RUN
[EXISTS] pdf_exporter | imports=True | unit_test_exists=True | integration_test_exists=False | live=LIVE_TEST_NOT_RUN
[EXISTS] export_service | imports=True | unit_test_exists=True | integration_test_exists=False | live=LIVE_TEST_NOT_RUN
[EXISTS] phase3_ui | imports=True | unit_test_exists=True | integration_test_exists=False | live=LIVE_TEST_NOT_RUN
[EXISTS] resume_validation_report | imports=True | unit_test_exists=False | integration_test_exists=False | live=LIVE_TEST_NOT_RUN
[EXISTS] behavioral_audit | imports=True | unit_test_exists=True | integration_test_exists=True | live=LIVE_TEST_NOT_RUN
[EXISTS] phase2_pipeline | imports=True | unit_test_exists=True | integration_test_exists=True | live=LIVE_TEST_NOT_RUN

Overall:
42/42 importable modules
100.0%
